Day,Month,AQI,Year,Date,AQI_Category,Season,Month_Num
9,January,109,2025,09-01-2025,Moderate,Winter,1
10,January,146,2025,10-01-2025,Moderate,Winter,1
11,January,118,2025,11-01-2025,Moderate,Winter,1
12,January,96,2025,12-01-2025,Satisfactory,Winter,1
13,January,92,2025,13-01-2025,Satisfactory,Winter,1
14,January,98,2025,14-01-2025,Satisfactory,Winter,1
15,January,84,2025,15-01-2025,Satisfactory,Winter,1
16,January,80,2025,16-01-2025,Satisfactory,Winter,1
17,January,99,2025,17-01-2025,Satisfactory,Winter,1
18,January,98,2025,18-01-2025,Satisfactory,Winter,1
19,January,151,2025,19-01-2025,Moderate,Winter,1
20,January,110,2025,20-01-2025,Moderate,Winter,1
21,January,97,2025,21-01-2025,Satisfactory,Winter,1
22,January,97,2025,22-01-2025,Satisfactory,Winter,1
23,January,122,2025,23-01-2025,Moderate,Winter,1
24,January,98,2025,24-01-2025,Satisfactory,Winter,1
25,January,95,2025,25-01-2025,Satisfactory,Winter,1
26,January,130,2025,26-01-2025,Moderate,Winter,1
27,January,97,2025,27-01-2025,Satisfactory,Winter,1
28,January,133,2025,28-01-2025,Moderate,Winter,1
29,January,86,2025,29-01-2025,Satisfactory,Winter,1
30,January,100,2025,30-01-2025,Satisfactory,Winter,1
31,January,72,2025,31-01-2025,Satisfactory,Winter,1
1,February,91,2025,01-02-2025,Satisfactory,Winter,2
2,February,99,2025,02-02-2025,Satisfactory,Winter,2
3,February,112,2025,03-02-2025,Moderate,Winter,2
4,February,86,2025,04-02-2025,Satisfactory,Winter,2
5,February,114,2025,05-02-2025,Moderate,Winter,2
6,February,102,2025,06-02-2025,Moderate,Winter,2
7,February,117,2025,07-02-2025,Moderate,Winter,2
8,February,114,2025,08-02-2025,Moderate,Winter,2
9,February,100,2025,09-02-2025,Satisfactory,Winter,2
10,February,97,2025,10-02-2025,Satisfactory,Winter,2
11,February,126,2025,11-02-2025,Moderate,Winter,2
12,February,143,2025,12-02-2025,Moderate,Winter,2
13,February,118,2025,13-02-2025,Moderate,Winter,2
14,February,120,2025,14-02-2025,Moderate,Winter,2
15,February,80,2025,15-02-2025,Satisfactory,Winter,2
16,February,92,2025,16-02-2025,Satisfactory,Winter,2
17,February,80,2025,17-02-2025,Satisfactory,Winter,2
18,February,108,2025,18-02-2025,Moderate,Winter,2
19,February,64,2025,19-02-2025,Satisfactory,Winter,2
20,February,72,2025,20-02-2025,Satisfactory,Winter,2
21,February,90,2025,21-02-2025,Satisfactory,Winter,2
22,February,76,2025,22-02-2025,Satisfactory,Winter,2
23,February,69,2025,23-02-2025,Satisfactory,Winter,2
24,February,82,2025,24-02-2025,Satisfactory,Winter,2
25,February,88,2025,25-02-2025,Satisfactory,Winter,2
